goos: linux
goarch: amd64
pkg: github.com/mariadb-connector-go/mariadb/tests/benchmark
cpu: 11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz
BenchmarkSelect1000RowsText/mariadb-16         	    4190	    288393 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    4214	    289703 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    4287	    284842 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    4054	    319970 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    4252	    287384 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    4251	    288987 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    3927	    286894 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    4084	    284781 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    4184	    285379 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    3865	    286772 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    4244	    288203 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    4105	    287095 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    4077	    287309 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    3846	    290817 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    4212	    286875 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    4321	    309493 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    3746	    293474 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    4177	    295570 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    3919	    301216 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mariadb-16         	    4212	    289270 ns/op	   85888 B/op	    5659 allocs/op
BenchmarkSelect1000RowsText/mysql-16           	    4015	    302591 ns/op	   93856 B/op	    5664 allocs/op
BenchmarkSelect1000RowsText/mysql-16           	    3882	    300961 ns/op	   93856 B/op	    5664 allocs/op
BenchmarkSelect1000RowsText/mysql-16           	    4137	    293535 ns/op	   93856 B/op	    5664 allocs/op
BenchmarkSelect1000RowsText/mysql-16           	    4089	    293724 ns/op	   93856 B/op	    5664 allocs/op
BenchmarkSelect1000RowsText/mysql-16           	    4030	    296403 ns/op	   93856 B/op	    5664 allocs/op
BenchmarkSelect1000RowsText/mysql-16           	    3840	    290496 ns/op	   93856 B/op	    5664 allocs/op
BenchmarkSelect1000RowsText/mysql-16           	    4023	    298524 ns/op	   93856 B/op	    5664 allocs/op
BenchmarkSelect1000RowsText/mysql-16           	    3926	    293037 ns/op	   93856 B/op	    5664 allocs/op
BenchmarkSelect1000RowsText/mysql-16           	    3386	    310794 ns/op	   93856 B/op	    5664 allocs/op
BenchmarkSelect1000RowsText/mysql-16           	    3792	    297559 ns/op	   93856 B/op	    5664 allocs/op
